0.000000000000000000e+00,5.000000000000000000e+01,-1.411986148042918801e-04
1.000000000000000000e+00,5.000000000000000000e+01,-8.059164491262524104e-04
2.000000000000000000e+00,5.000000000000000000e+01,1.009290511479058903e-03
3.000000000000000000e+00,5.000000000000000000e+01,3.057510816318666788e-04
4.000000000000000000e+00,5.000000000000000000e+01,-1.038718505239223178e-03
5.000000000000000000e+00,5.000000000000000000e+01,-3.699936718102407314e-04
6.000000000000000000e+00,5.000000000000000000e+01,-2.506515057979377225e-04
7.000000000000000000e+00,5.000000000000000000e+01,-1.251852115328568385e-04
8.000000000000000000e+00,5.000000000000000000e+01,5.161294986381499130e-04
9.000000000000000000e+00,5.000000000000000000e+01,-5.887117977457457726e-04
1.000000000000000000e+01,5.000000000000000000e+01,-4.759460974985713229e-04
1.100000000000000000e+01,5.000000000000000000e+01,-8.315628228677526606e-04
1.200000000000000000e+01,5.000000000000000000e+01,7.539410157766879500e-04
1.300000000000000000e+01,5.000000000000000000e+01,2.750154543962656049e-04
1.400000000000000000e+01,5.000000000000006395e+01,-7.436747196531020253e-04
1.500000000000000000e+01,5.000000000000080291e+01,-8.638491585037622825e-04
1.600000000000000000e+01,5.000000000000817835e+01,9.633509096749001558e-05
1.700000000000000000e+01,5.000000000006592416e+01,-1.131862293759657847e-03
1.800000000000000000e+01,5.000000000043254289e+01,2.494237868012023429e-04
1.900000000000000000e+01,5.000000000237330511e+01,-5.280007033381331092e-04
2.000000000000000000e+01,5.000000001113442494e+01,-7.685681588179415092e-04
2.100000000000000000e+01,5.000000004552260435e+01,6.602885219856520537e-04
2.200000000000000000e+01,5.000000016486439591e+01,-4.360696917557475074e-05
2.300000000000000000e+01,5.000000053583814008e+01,1.224144604702276677e-03
2.400000000000000000e+01,5.000000158194617939e+01,-1.155317670886051896e-03
2.500000000000000000e+01,5.000000428639538796e+01,1.649329760816584372e-04
2.600000000000000000e+01,5.000001075668972561e+01,3.050629967700300006e-04
2.700000000000000000e+01,5.000002520057395117e+01,-4.940511225940787045e-05
2.800000000000000000e+01,5.000005545126457918e+01,-5.021603219357121143e-04
2.900000000000000000e+01,5.000011520465891834e+01,4.992078920591192740e-04
3.000000000000000000e+01,5.000022727435555225e+01,1.002018415113366343e-03
3.100000000000000000e+01,5.000042780910259665e+01,-4.953033364015333633e-04
3.200000000000000000e+01,5.000077150711402396e+01,-1.292189230312532295e-03
3.300000000000000000e+01,5.000133773583373653e+01,9.339489120982450050e-04
3.400000000000000000e+01,5.000223725503214922e+01,-6.490065299958126853e-04
3.500000000000000000e+01,5.000361908465179539e+01,8.989628057780736084e-04
3.600000000000000000e+01,5.000567691345425203e+01,-6.950720404254442713e-04
3.700000000000000000e+01,5.000865433700944607e+01,-8.976813409789122331e-05
3.800000000000000000e+01,5.001284816971767100e+01,5.489549393529103869e-04
3.900000000000000000e+01,5.001860911148111910e+01,1.278528963458183372e-03
4.000000000000000000e+01,5.002633917117050544e+01,-8.323230536064747751e-04
4.100000000000000000e+01,5.003648544957137290e+01,-9.328810548364167539e-04
4.200000000000000000e+01,5.004953014691483304e+01,-1.044141785601762629e-03
4.300000000000000000e+01,5.006597695306859919e+01,-1.305713531836902872e-03
4.400000000000000000e+01,5.008633429297852047e+01,-7.298270874950177995e-04
4.500000000000000000e+01,5.011109624181017352e+01,8.957157045910797612e-04
4.600000000000000000e+01,5.014072185410866922e+01,6.943068636013848785e-05
4.700000000000000000e+01,5.017561415601667107e+01,6.393115744453323852e-04
4.800000000000000000e+01,5.021610001131993783e+01,-6.808944983879555019e-04
4.900000000000000000e+01,5.026241191116987750e+01,9.887744264822910956e-04
5.000000000000000000e+01,5.031467254160651947e+01,1.226681915035525297e-03
5.100000000000000000e+01,5.037288323557333314e+01,-2.911829310422564933e-04
5.200000000000000000e+01,5.043691652501821920e+01,-1.304178395685215951e-03
5.300000000000000000e+01,5.050651347302263616e+01,-5.273867247048970265e-04
5.400000000000000000e+01,5.058128556048475133e+01,-7.792570053608831749e-04
5.500000000000000000e+01,5.066072108736497626e+01,7.572259758518728751e-04
5.600000000000000000e+01,5.074419571672414975e+01,9.964486611641881070e-04
5.700000000000000000e+01,5.083098642184706506e+01,6.183943524327012702e-04
5.800000000000000000e+01,5.092028840400697476e+01,-1.200597121456955900e-03
5.900000000000000000e+01,5.101123391541059249e+01,-6.117589498013431592e-04
6.000000000000000000e+01,5.110291246652693786e+01,-1.192500565093450532e-03
6.100000000000000000e+01,5.119439141551538341e+01,6.762010007684785690e-04
6.200000000000000000e+01,5.128473634517430213e+01,7.107336255554916977e-04
6.300000000000000000e+01,5.137303052225534117e+01,3.713409287165412307e-04
6.400000000000000000e+01,5.145839287212685065e+01,-5.563584054049605665e-05
6.500000000000000000e+01,5.153999406209098311e+01,-7.093349453685053162e-04
6.600000000000000000e+01,5.161707035331000526e+01,-1.001080841303077229e-03
6.700000000000000000e+01,5.168893496475252647e+01,2.058177883580301004e-04
6.800000000000000000e+01,5.175498675059246523e+01,2.764781321770060259e-04
6.900000000000000000e+01,5.181471621045427867e+01,2.607204117841566159e-04
7.000000000000000000e+01,5.186771105355873601e+01,-1.223713050868245080e-04
7.100000000000000000e+01,5.191365518523662814e+01,1.168759946228621399e-03
7.200000000000000000e+01,5.195233043430809516e+01,1.271395512531838835e-03
7.300000000000000000e+01,5.198361218719035293e+01,1.015777588315352640e-03
7.400000000000000000e+01,5.200746496478360115e+01,-1.943054281985900336e-04
7.500000000000000000e+01,5.202393766285648269e+01,2.730934904852725916e-04
7.600000000000000000e+01,5.203315557267824687e+01,-6.699237782885795285e-04
7.700000000000000000e+01,5.203524909282365485e+01,8.578386743468676074e-04
7.800000000000000000e+01,5.203060863328922636e+01,-2.487446248333820449e-04
7.900000000000000000e+01,5.201949007984042339e+01,6.565214144043953187e-04
8.000000000000000000e+01,5.200224089838934560e+01,7.073274611319284311e-04
8.100000000000000000e+01,5.197925493730067359e+01,3.261580546933675142e-04
8.200000000000000000e+01,5.195095253904829491e+01,1.957954936459311440e-04
8.300000000000000000e+01,5.191777541170030474e+01,-5.197451677475663310e-04
8.400000000000000000e+01,5.188017959556626835e+01,8.148832175582184810e-04
8.500000000000000000e+01,5.183862894840933677e+01,-9.959607856794396377e-04
8.600000000000000000e+01,5.179358871946978127e+01,-1.330952829054072835e-03
8.700000000000000000e+01,5.174551819101085925e+01,7.689540879177827516e-05
8.800000000000000000e+01,5.169486641773367097e+01,9.103826419690717051e-04
8.900000000000000000e+01,5.164206857937060136e+01,1.712933347876069402e-04
9.000000000000000000e+01,5.158754283886772640e+01,7.346720551156869870e-04
9.100000000000000000e+01,5.153168693640574816e+01,1.136973401823051285e-03
9.200000000000000000e+01,5.147487635391710370e+01,-1.864744267208711531e-04
9.300000000000000000e+01,5.141746259060337110e+01,-4.194525503182068658e-05
9.400000000000000000e+01,5.135977188223579759e+01,-1.714554532304494452e-04
9.500000000000000000e+01,5.130210446868630214e+01,1.100809392185904639e-04
9.600000000000000000e+01,5.124473427187736263e+01,9.958180526276319468e-04
9.700000000000000000e+01,5.118790893637067541e+01,6.140609830534645179e-04
9.800000000000000000e+01,5.113185018464952947e+01,-5.133005775326176037e-04
9.900000000000000000e+01,5.107675444050032354e+01,-1.379519588748615022e-03
1.000000000000000000e+02,5.102279366467720934e+01,1.203335779685612335e-03
1.010000000000000000e+02,5.097011638901574315e+01,1.229607454724422416e-04
1.020000000000000000e+02,5.091884887852152985e+01,-3.738253402116558776e-04
1.030000000000000000e+02,5.086909640958567280e+01,1.204731094798210198e-03
1.040000000000000000e+02,5.082094463274751206e+01,1.131425863973238360e-03
1.050000000000000000e+02,5.077446095461814934e+01,1.372265711983575729e-03
1.060000000000000000e+02,5.072969597744712189e+01,5.431038358336655390e-05
1.070000000000000000e+02,5.068668493492291560e+01,-2.637100153746916534e-04
1.080000000000000000e+02,5.064544900402935212e+01,4.702249128109594581e-04
1.090000000000000000e+02,5.060599677206850799e+01,9.828061334841090967e-04
1.100000000000000000e+02,5.056832560311327285e+01,-3.662865758552042426e-04
1.110000000000000000e+02,5.053242284407339469e+01,-9.405482026611842019e-04
1.120000000000000000e+02,5.049826703954488494e+01,-1.230284494965038248e-03
1.130000000000000000e+02,5.046582914453325941e+01,-8.659585713149634423e-04
1.140000000000000000e+02,5.043507360720348487e+01,-5.418551215001316196e-04
1.150000000000000000e+02,5.040595930857389817e+01,-7.746351388329637605e-04
1.160000000000000000e+02,5.037844051755891428e+01,1.110660454749682431e-03
1.170000000000000000e+02,5.035246779523709648e+01,-1.269885999540492152e-03
1.180000000000000000e+02,5.032798879677032033e+01,4.809727202850428481e-04
1.190000000000000000e+02,5.030494903124168360e+01,5.651376427721925615e-05
1.200000000000000000e+02,5.028329259758020697e+01,-6.633045265554495017e-04
1.210000000000000000e+02,5.026296289641820891e+01,1.964352444506746399e-04
1.220000000000000000e+02,5.024390333214019222e+01,-2.077352695547066694e-04
1.230000000000000000e+02,5.022605803153068393e+01,1.318976947929895952e-03
1.240000000000000000e+02,5.020937258939221692e+01,-3.505281138182438539e-04
1.250000000000000000e+02,5.019379485190705026e+01,-1.355958482589592409e-03
1.260000000000000000e+02,5.017927574257753065e+01,-9.658951784134394390e-04
1.270000000000000000e+02,5.016577013525343887e+01,-7.286007131760565509e-04
1.280000000000000000e+02,5.015323776167935677e+01,3.212395207563961404e-04
1.290000000000000000e+02,5.014164414264972436e+01,4.854424942714458124e-04
1.300000000000000000e+02,5.013096152022779251e+01,-8.218903050312354385e-04
1.310000000000000000e+02,5.012116976520141520e+01,-5.503116375275773301e-04
1.320000000000000000e+02,5.011225722726742049e+01,-7.514389026666178821e-04
1.330000000000000000e+02,5.010422150040803757e+01,1.102730009780716718e-03
1.340000000000000000e+02,5.009707006455236211e+01,1.290252625851423562e-04
1.350000000000000000e+02,5.009082077805851441e+01,3.009958101467574330e-04
1.360000000000000000e+02,5.008550219747208843e+01,1.321840819460604098e-03
1.370000000000000000e+02,5.008115369128405803e+01,-3.844393619674179089e-05
1.380000000000000000e+02,5.007782535265365453e+01,2.046865821346573037e-04
1.390000000000000000e+02,5.007557773245655142e+01,9.975727847560062270e-04
1.400000000000000000e+02,5.007448136133470484e+01,7.135728401944008061e-04
1.410000000000000000e+02,5.007461793305390785e+01,3.911852837593937518e-04
1.420000000000000000e+02,5.007607039702467233e+01,-4.182176624763489763e-04
1.430000000000000000e+02,5.007893721593774217e+01,1.222859816624107714e-03
1.440000000000000000e+02,5.008331936550425212e+01,2.090289602764564610e-04
1.450000000000000000e+02,5.008932254626579095e+01,-3.005986538428357334e-04
1.460000000000000000e+02,5.009705586264668398e+01,7.317710341100654506e-04
1.470000000000000000e+02,5.010662918129521870e+01,-1.584577735584419972e-04
1.480000000000000000e+02,5.011815370059741781e+01,-1.224328886017779115e-03
1.490000000000000000e+02,5.013173961658531397e+01,-1.083172049414231255e-03
1.500000000000000000e+02,5.014749466257316612e+01,8.832440606401990683e-04
1.510000000000000000e+02,5.016552284990228117e+01,-2.626999589006903777e-04
1.520000000000000000e+02,5.018592420219693651e+01,-2.380592483329229292e-04
1.530000000000000000e+02,5.020879191077210635e+01,-3.233445849144725827e-04
